##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Af_NaCl_0_1_EKDN230045909-1A_HVJG7DSX7_L4_1_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8230135
1103	35-39	-0.0086503188261986
1103	40-44	0.05187683074702676
1103	45-49	-0.0733836419426197
1103	50-54	0.043769144021240436
1103	55-59	-0.033287637021039984
1103	60-64	-0.053206388078614
1103	65-69	-0.09387374904347467
1103	70-74	-0.1665045564558909
1103	75-79	-0.1774547513271827
1103	80-84	-0.10602507475666556
1103	85-89	-0.17133963818387343
1103	90-94	-0.19570714065081063
1103	95-99	-0.15105633564929377
1103	100-104	-0.21343451778475497
1103	105-109	-0.1975677256872217
1103	110-114	-0.16232091888713285
1103	115-119	-0.1413410526490324
1103	120-124	-0.23295510557907306
1103	125-129	-0.2691948083692779
1103	130-134	-0.1959004413203047
1103	135-139	-0.08864156382153254
1103	140-144	-0.2979764660249913
1103	145-149	-0.001867204439392367
1103	150	-0.1802668553446125
1104	1	-0.08053804049043833
1104	2	-0.017711173501332667
1104	3	-0.05220846970595261
1104	4	5.904333943789197E-4
1104	5	0.18926855362950334
1104	6	-0.06587407000572654
1104	7	-0.05573492197410701
1104	8	-0.05170347043763002
1104	9	-0.15553370866102512
1104	10-14	0.017930465844074206
1104	15-19	-0.05362836554934347
1104	20-24	-0.15000681295748564
1104	25-29	-0.10399502709762487
1104	30-34	-0.14457796348649055
1104	35-39	-0.1317586763432459
1104	40-44	-0.11796998849968787
1104	45-49	-0.13982817062439068
1104	50-54	-0.22425106465257727
1104	55-59	-0.10198867666161959
1104	60-64	-0.1596621023732112
1104	65-69	-0.12381589456829545
1104	70-74	-0.18299165260865635
1104	75-79	-0.1453162485836046
1104	80-84	-0.19579434042118748
1104	85-89	-0.20616716224846954
1104	90-94	-0.21476543633626477
1104	95-99	-0.09124661535175704
1104	100-104	-0.2403809076282215
1104	105-109	-0.19946033137572527
1104	110-114	-0.23800426661676255
1104	115-119	-0.20494145284539655
1104	120-124	-0.18548783903213462
1104	125-129	-0.23325270012983168
1104	130-134	-0.23581866206215096
1104	135-139	-0.1515673472804977
1104	140-144	-0.3174225296214175
1104	145-149	-0.14132892789376683
1104	150	-0.05957409305752748
1105	1	-0.08344281067981996
1105	2	0.16775079965466944
1105	3	-0.03348339834320058
1105	4	-0.09544482592788484
1105	5	0.060440578140919854
1105	6	0.10156904920712861
1105	7	0.0014145628609014693
1105	8	0.12179662299441674
1105	9	0.09920458494757867
1105	10-14	0.04369606094179801
1105	15-19	-0.03363313380564392
1105	20-24	-0.014171304912672156
1105	25-29	-0.009206215746601742
1105	30-34	-0.038834534336984916
1105	35-39	-0.07399730824029405
1105	40-44	-0.03267129590401652
1105	45-49	-0.07770062621194285
1105	50-54	0.012598793266271002
1105	55-59	-0.025328518020444335
1105	60-64	-0.12681989943879302
1105	65-69	-0.13399573515388852
1105	70-74	0.009680439560447951
1105	75-79	-0.13488072636287995
1105	80-84	-0.1793214324936372
1105	85-89	-0.15768920254667762
1105	90-94	-0.1717825698409996
1105	95-99	-0.2615089338841585
1105	100-104	-0.2578822124551152
1105	105-109	-0.25702684532931386
1105	110-114	-0.2129469508873143
1105	115-119	-0.27165116269056
1105	120-124	-0.3904341961487603
1105	125-129	-0.25380208057869424
1105	130-134	-0.2358248479081695
1105	135-139	-0.39469532341343694
1105	140-144	-0.41243300045452
1105	145-149	-0.1939617141663419
1105	150	-0.07166226713754043
1106	1	-0.2158441844989909
1106	2	0.011401248121700291
1106	3	-0.09673963717322209
1106	4	0.006829519654090177
1106	5	0.130106604598609
1106	6	-0.05493702636319142
1106	7	0.050804311562842486
1106	8	0.016876764584523585
1106	9	-0.12865592390949843
1106	10-14	0.002621587574623163
1106	15-19	-0.07119325763924422
1106	20-24	-0.16700496733137982
1106	25-29	-0.10942676068119539
1106	30-34	-0.02687250552886411
1106	35-39	-0.09986277711318081
1106	40-44	-0.15146021040981594
1106	45-49	-0.17616450957331864
1106	50-54	-0.1898237369576279
1106	55-59	-0.07822645793316951
1106	60-64	-0.23963575404079052
1106	65-69	-0.2113375977642704
1106	70-74	-0.284413343997592
1106	75-79	-0.34875619737834995
1106	80-84	-0.23105288343297303
1106	85-89	-0.3866900275053311
1106	90-94	-0.4159518570023053
1106	95-99	-0.23203520105529662
1106	100-104	-0.33534775471467526
1106	105-109	-0.38355215282848576
1106	110-114	-0.18901724814185883
1106	115-119	-0.3331096844621584
1106	120-124	-0.30281050046227875
1106	125-129	-0.304789914042253
1106	130-134	-0.3146991065038378
1106	135-139	-0.3418117529205347
1106	140-144	-0.4323479899404603
1106	145-149	-0.3542587506018009
1106	150	-0.14022236146251998
1107	1	0.0054333353584823385
1107	2	0.057655188999376605
1107	3	-0.10088347715685586
1107	4	0.04187160829085457
1107	5	0.09750132618988516
1107	6	-0.06180302326477971
1107	7	-0.05599110622384984
1107	8	0.10971797167677977
1107	9	-0.052890064757129096
1107	10-14	-0.025918131800807487
1107	15-19	0.012283022601501159
1107	20-24	0.08641168050156267
1107	25-29	0.03799243002004715
1107	30-34	0.08611417787140851
1107	35-39	-0.0284220667261863
1107	40-44	0.007089016313280183
1107	45-49	0.03239917387367086
1107	50-54	0.03394917758104299
1107	55-59	-0.05564114116677388
1107	60-64	-0.021595025219887987
1107	65-69	-0.0216739659574543
1107	70-74	-0.06026367082056083
1107	75-79	0.03734413607324427
1107	80-84	0.04522836739560887
1107	85-89	-0.09037238866081054
1107	90-94	-0.032208032674859055
1107	95-99	0.01612147195380942
1107	100-104	0.005491038294081818
1107	105-109	-0.024835000840980115
1107	110-114	0.02472257375635678
1107	115-119	-0.09315786512448199
1107	120-124	0.031942074917850505
1107	125-129	-0.1271325598626163
1107	130-134	0.01026228962429343
1107	135-139	-0.018532134628550523
1107	140-144	0.00903940101859746
1107	145-149	0.1335674252853991
1107	150	0.215976164077901
1108	1	0.06622427540595055
1108	2	-0.26105805008843674
1108	3	-0.0696792670650197
1108	4	-0.06535674791593493
1108	5	-0.061924945608687665
1108	6	0.08313557956257966
1108	7	-0.015587639089396532
1108	8	0.05261344170050819
1108	9	0.18979386878945803
1108	10-14	0.055441892964438466
1108	15-19	-0.0036105900287708437
1108	20-24	0.06693071878450496
1108	25-29	0.06931375908825288
1108	30-34	-0.018003560236117266
1108	35-39	-0.01588259711520834
1108	40-44	-0.06671554461954088
1108	45-49	0.031761468786477565
1108	50-54	-0.09943643793851464
1108	55-59	0.152660891647173
1108	60-64	-0.057376678300073536
1108	65-69	-0.005682324228018842
1108	70-74	-0.05024406500072587
1108	75-79	-0.05662655838553121
1108	80-84	0.028484481315736332
1108	85-89	-0.03368112872892226
1108	90-94	-0.1450498446653654
1108	95-99	-0.036208524950531285
1108	100-104	-0.006452517582509643
1108	105-109	-0.09818811197501276
1108	110-114	-0.06362640983667234
1108	115-119	-0.007569690529507511
1108	120-124	-0.06148326818399141
1108	125-129	0.00784938214543729
1108	130-134	0.0026196314878745852
1108	135-139	-0.03195206033281295
1108	140-144	-0.05237428177987624
1108	145-149	-0.0066247633432254815
1108	150	0.04200031019285433
1109	1	0.07925088294475557
1109	2	-0.21305361549863733
1109	3	-0.07500077482555412
1109	4	0.05249247603084939
1109	5	0.06224356880372994
1109	6	0.03745930461801805
1109	7	0.007583092617920784
1109	8	-0.07732003945248067
1109	9	-0.024951142297020112
1109	10-14	0.022936349727189054
1109	15-19	-0.07583897140350615
1109	20-24	-0.06701606613788158
1109	25-29	-0.015686240911747973
1109	30-34	-0.13683948041349936
1109	35-39	-0.05872073458748872
1109	40-44	-0.1100858328678811
1109	45-49	-0.17449130283214487
1109	50-54	-0.1773965266303108
1109	55-59	-0.058104075093410756
1109	60-64	-0.10491548096081971
1109	65-69	-0.18079318897302699
1109	70-74	-0.14669639316038285
1109	75-79	-0.2764270018445103
1109	80-84	-0.276471172786259
1109	85-89	-0.35429088482647586
1109	90-94	-0.20192345885605079
1109	95-99	-0.23813757151373238
1109	100-104	-0.3839580608197579
1109	105-109	-0.344163721731114
1109	110-114	-0.3040033499697046
1109	115-119	-0.2599754554962459
1109	120-124	-0.24998659412634083
1109	125-129	-0.35115283514946327
1109	130-134	-0.1497861334788695
1109	135-139	-0.23649197164100855
1109	140-144	-0.23029002457366943
1109	145-149	-0.20861478551618262
1109	150	-0.07995090931934357
1110	1	-0.14356194294190772
1110	2	0.06411837166332646
1110	3	0.023886527870637053
1110	4	0.09460589218369364
1110	5	0.0638533856490966
1110	6	0.06802557541148246
1110	7	0.07617242732820273
1110	8	0.13567695353114573
1110	9	0.07474613113897988
1110	10-14	0.06493130765933586
1110	15-19	-0.04426023718527006
1110	20-24	-0.01143789889917457
1110	25-29	-0.02934336004832261
1110	30-34	-0.04552742906135876
1110	35-39	0.03912778063489952
1110	40-44	-0.059052613942917276
1110	45-49	-0.04705961880173248
1110	50-54	-0.04378679078201486
1110	55-59	-0.13951220922456287
1110	60-64	-0.04515583977786264
1110	65-69	-0.17833695270456218
1110	70-74	-0.07569030825519008
1110	75-79	-0.051549763034763885
1110	80-84	-0.06353087775441679
1110	85-89	-0.04352131137731874
1110	90-94	-0.021824439933105566
1110	95-99	-0.030284905191301448
1110	100-104	-0.0398875528668583
1110	105-109	0.0021585048784587
1110	110-114	0.006074710960341179
1110	115-119	0.056828399964480525
1110	120-124	-0.02361900915534676
1110	125-129	0.04766258264356793
1110	130-134	-0.04547708914309112
1110	135-139	0.05766915178840293
1110	140-144	-0.15057270436185632
1110	145-149	-0.10004630755244648
1110	150	0.23938511716670519
1111	1	0.1768118585545082
1111	2	0.1616692226388352
1111	3	0.217682152003718
1111	4	0.18109558024371353
1111	5	-0.022013637404697306
1111	6	0.05741495872000968
1111	7	0.2115742234383191
1111	8	-0.028539551647604355
1111	9	0.11030384661651027
1111	10-14	0.053978478330293456
1111	15-19	0.06739827915082941
1111	20-24	0.11968016446078877
1111	25-29	0.06147562161596909
1111	30-34	0.11061063045124797
1111	35-39	0.1483746090932243
1111	40-44	0.13337314717646365
1111	45-49	0.017969894507103845
1111	50-54	0.001760901307612528
1111	55-59	-0.032383454250833665
1111	60-64	-0.040613928854398296
1111	65-69	-0.04819895393977447
1111	70-74	-0.12186269027789365
